date,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM
2013-03-01 00:00:00,7.0,7.0,3.0,2.0,100.0,91.0,-2.3,1020.3,-20.7,0.0,WNW,3.1
2013-03-01 01:00:00,4.0,4.0,3.0,,100.0,92.0,-2.7,1020.8,-20.5,0.0,NNW,1.5
2013-03-01 02:00:00,4.0,4.0,,,100.0,91.0,-3.2,1020.6,-21.4,0.0,NW,1.8
2013-03-01 03:00:00,3.0,3.0,3.0,2.0,,,-3.3,1021.3,-23.7,0.0,NNW,2.4
2013-03-01 04:00:00,3.0,3.0,7.0,,300.0,86.0,-4.1,1022.1,-22.7,0.0,NNW,2.2
2013-03-01 05:00:00,4.0,4.0,3.0,3.0,200.0,85.0,-4.2,1022.3,-24.5,0.0,N,4.3
2013-03-01 06:00:00,3.0,6.0,33.0,7.0,300.0,82.0,-5.9,1023.1,-21.9,0.0,WNW,0.6
2013-03-01 07:00:00,3.0,10.0,13.0,13.0,400.0,71.0,-2.7,1024.3,-23.2,0.0,NNE,3.4
2013-03-01 08:00:00,3.0,13.0,34.0,38.0,800.0,45.0,-1.6,1025.2,-23.5,0.0,NNE,4.6
2013-03-01 09:00:00,17.0,36.0,50.0,28.0,700.0,60.0,-1.1,1025.4,-23.8,0.0,NE,4.9
2013-03-01 10:00:00,19.0,32.0,5.0,3.0,300.0,85.0,1.0,1025.1,-23.6,0.0,ESE,2.7
2013-03-01 11:00:00,10.0,11.0,3.0,,300.0,87.0,2.4,1024.5,-22.5,0.0,SE,3.9
2013-03-01 12:00:00,3.0,6.0,5.0,3.0,300.0,86.0,3.9,1023.8,-21.3,0.0,W,1.9
2013-03-01 13:00:00,3.0,6.0,7.0,3.0,300.0,87.0,4.7,1022.8,-22.4,0.0,S,3.3
2013-03-01 14:00:00,3.0,6.0,9.0,6.0,300.0,87.0,5.7,1022.3,-22.6,0.0,NW,1.9
2013-03-01 15:00:00,3.0,3.0,4.0,3.0,200.0,89.0,5.4,1022.7,-22.8,0.0,NE,3.1
2013-03-01 16:00:00,3.0,6.0,16.0,6.0,300.0,86.0,4.6,1022.7,-22.5,0.0,NE,3.2
2013-03-01 17:00:00,4.0,10.0,13.0,12.0,300.0,80.0,3.4,1023.2,-21.7,0.0,N,2.8
2013-03-01 18:00:00,4.0,12.0,10.0,15.0,300.0,76.0,1.2,1024.4,-21.2,0.0,ENE,1.4
2013-03-01 19:00:00,9.0,18.0,24.0,22.0,500.0,68.0,0.8,1025.1,-20.9,0.0,NNE,2.3
2013-03-01 20:00:00,20.0,24.0,22.0,24.0,500.0,65.0,0.7,1026.2,-20.4,0.0,NNE,4.4
2013-03-01 21:00:00,23.0,29.0,27.0,16.0,400.0,71.0,-0.2,1027.3,-20.0,0.0,NE,3.3
2013-03-01 22:00:00,13.0,20.0,23.0,18.0,400.0,68.0,-1.0,1027.9,-19.6,0.0,NE,3.7
2013-03-01 23:00:00,13.0,24.0,50.0,23.0,400.0,61.0,-1.1,1027.4,-19.2,0.0,NE,3.7
2013-03-02 00:00:00,15.0,21.0,44.0,28.0,500.0,57.0,-1.8,1027.3,-19.3,0.0,NE,4.8
2013-03-02 01:00:00,9.0,16.0,28.0,17.0,400.0,67.0,-2.1,1027.9,-19.1,0.0,ENE,2.6
2013-03-02 02:00:00,11.0,13.0,40.0,16.0,300.0,67.0,-2.2,1027.4,-19.6,0.0,NE,3.9
